manufacturer,product_name,model_number,optical_zoom,weight_g,price_usd,meets_criteria,near_miss,near_miss_reason,has_thermal,has_night_vision,gimbal_axes,sensor_size,megapixels,max_video_resolution,product_url,notes,country_of_origin,digital_zoom_max,total_zoom_combined,sensor_type,max_photo_resolution,dimensions_mm,power_consumption_w,voltage_input,stabilization_range_pitch,stabilization_range_yaw,stabilization_range_roll,output_interface,control_protocol,compatible_drones,ip_rating,price_source,availability,notable_features
DJI,Zenmuse H20T,H20T,23x,828,9809,True,False,,True,False,3,1/1.7 inch (zoom camera),20,3840x2160@30fps,https://enterprise.dji.com/zenmuse-h20-series,,China,200x,200x (23x optical + digital enhancement),CMOS (zoom) + Uncooled VOx Microbolometer (thermal),5184x3888,167x135x161,,,-120 to +30 deg,+/-320 deg,-90 to +60 deg (mechanical),DJI proprietary (Skyport),DJI proprietary,DJI Matrice 300 RTK; DJI Matrice 350 RTK,IP44,DJI Store (Worry-Free Basic Combo); standalone ~$7000-8000 estimated,Available (being superseded by H30T),23x hybrid optical zoom; 200x max digital zoom; 12 MP wide-angle camera (82.9 deg DFOV); Laser rangefinder (3-1200m); 640x512 radiometric thermal camera; Thermal sensitivity NETD <=50 mK; Scene range -40 to 550 deg C; Quad-sensor solution
DJI,Zenmuse H30,H30,34x,920,3520,True,False,,False,True,3,"1/1.8 inch (zoom), 1/1.3 inch (wide)",40,3840x2160@30fps,https://enterprise.dji.com/zenmuse-h30-series,,China,400x,400x (34x optical + digital enhancement),CMOS,7328x5496,170x145x165,26,,-120 to +60 deg,+/-320 deg,+/-60 deg (mechanical),DJI proprietary (Skyport),DJI proprietary,DJI Matrice 400; DJI Matrice 350 RTK; DJI Matrice 300 RTK,IP54,Dronefly / DSLRPros (Worry-Free Basic Combo); standalone likely ~$3000-3200,Available,34x hybrid optical zoom; 400x max digital zoom; 40 MP zoom camera (1/1.8 inch CMOS); 48 MP wide-angle camera (1/1.3 inch CMOS); Laser rangefinder (3-3000m); NIR auxiliary light (850nm) for night illumination; Night scene ISO up to 819200; Angular vibration +/-0.002 deg (hover)
DJI,Zenmuse H30T,H30T,34x,920,9460,True,False,,True,True,3,"1/1.8 inch (zoom), 1/1.3 inch (wide)",40,3840x2160@30fps,https://enterprise.dji.com/zenmuse-h30-series,,China,400x,400x (34x optical + digital enhancement),CMOS (zoom) + Uncooled VOx Microbolometer (thermal),7328x5496,170x145x165,28,,-120 to +60 deg,+/-320 deg,+/-60 deg (mechanical),DJI proprietary (Skyport),DJI proprietary,DJI Matrice 400; DJI Matrice 350 RTK; DJI Matrice 300 RTK,IP54,Dronefly / DSLRPros (Worry-Free Basic Combo),Available,34x hybrid optical zoom; 400x max digital zoom; 40 MP zoom camera (1/1.8 inch CMOS); 48 MP wide-angle camera (1/1.3 inch CMOS); 1280x1024 thermal camera @30fps; Thermal range -20 to 1600 deg C; Laser rangefinder (3-3000m); NIR auxiliary light (850nm); Night scene ISO up to 819200; Five integrated modules
Edge Autonomy (acquired by Redwire),E180,E180 / E180MG,"30x (EO); 15x continuous (MWIR); up to 90x optical zoom (EO, per some sources)",3750,,False,False,"Weight 3750g (E180) or 3250g (E180MG) far exceeds 1000g limit; defense pricing likely well over $10,000",True,True,3,,,4K (EO channel),https://rdw.com/product-archive/octopus-isr-and-optics-payloads/e180/,,USA,,Up to 90x optical (EO channel),4K color EO camera + cooled MWIR thermal imager,,180 mm diameter x 227 mm height,,,,continuous,,,,"Group 2 and 3 UAS, fixed-wing UAVs",IP64,"Defense product, pricing not publicly listed; contact Redwire/Edge Autonomy","Available (defense sales, now under Redwire product archive)","Smallest four-sensor MWIR gimbal in its class; 30x optical zoom EO with 4K output; 15x continuous optical zoom cooled MWIR; Integrated laser rangefinder and pointer; Onboard target tracking, image enhancement, moving target indication; Three-axis mechanical and electrical stabilization; IP64 sealed, dry gas environment assembly; E180MG variant: 3.25 kg"
Edge Autonomy (acquired by Redwire),E140Z G2,E140ZG2,5x (LWIR thermal zoom),1450,,False,True,Only 5x optical zoom on thermal channel (below 10x threshold); weight 1450g exceeds 1000g. User flagged as near-miss due to 5x zoom.,True,True,2,,,1080p Full HD,https://rdw.com/product-archive/octopus-isr-and-optics-payloads/e140z-g2/,,USA,,5x (thermal channel),Global shutter EO sensor (Full HD 1080p) + cooled LWIR thermal sensor,,Approx 140 mm diameter (inferred from model name),,,,continuous,,,,"Group 2 UAS, fixed-wing and multirotor UAVs",IP64,"Defense product, pricing not publicly listed; contact Redwire/Edge Autonomy","Available (defense sales, now under Redwire product archive)","ITAR-free (export-friendly); 5x optical zoom LWIR thermal sensor; Full HD 1080p EO with global shutter; Onboard target tracking, scene steering, moving target indication; GPS/INS with high-precision geolocation; Artillery fire support capability; IP64 ruggedized"
Foxtech,EH26 26X Optical Zoom Camera with 3-Axis Gimbal,EH26,26x,630,1199.0,True,False,,False,False,3,"1/2.8""",2.13,1920x1080 @ 25fps,https://store.foxtech.com/eh26-zoom-camera/,Weight and detailed specs confirmed from official EH26 user manual V1.1 (2023). Price confirmed from store.foxtech.com. Store page shows 3.00 KGS which is shipping weight including packaging.; high,China,1.27x (combined to 33x total),33x,"1/2.8"" CMOS",1920x1080,121(L) x 104(W) x 180(H),,4S-12S (15-60V),-130 to +60 degrees,360 degrees continuous,,"Ethernet (GH1.25 4-core), Serial/CAN (GH1.25 5-core), SBUS (GH1.25 2-core), XT30 power","SBUS, Serial, CAN, TCP/IP (network port)",Various multirotors (universal mounting),,store.foxtech.com,In stock,26x optical zoom with 33x total combined zoom; 1080P Ethernet video output; Data encryption for stored video/photos on Micro SD card; 3-axis stabilized gimbal with +/-0.01 degree accuracy; 360 degree continuous yaw rotation; Cost-effective option for inspection and surveillance; Aviation aluminum alloy and nylon construction; Focusing speed under 1 second; Focal length 5-130mm
Foxtech,EH20 4K 20X Optical Zoom Camera with 3-Axis Gimbal,EH20,20x,,3799.0,True,False,,False,False,3,,25.9,4K (3840x2160),https://store.foxtech.com/eh20-4k-optical-zoom-camera/,"Price confirmed from store.foxtech.com. Weight not publicly listed on product pages or in search results; store shipping weight listed as 3.00 KGS (includes packaging). Detailed weight, dimensions, voltage, and power specs require contacting manufacturer or accessing full manual. Given the EH26 (26x zoom, 1080p) weighs 630g, the EH20 with 4K/25.9MP sensor likely weighs more but exact value unknown.; medium",China,1.25x (hybrid zoom to 25x),25x (hybrid),CMOS,6784x3816,,,,,360 degrees unlimited rotation,,Ethernet,Windows PC and Android device control supported,"Various multirotors (universal mounting, quick-release design)",,store.foxtech.com,In stock,4K video resolution with 25.9MP effective pixels; 20x optical zoom with 25x hybrid zoom; 3-axis stabilization for smooth footage; 360 degree unlimited yaw rotation; Quick-release / quick-mount plate design; Ethernet video output; Real-time control from Windows PC and Android; High resolution 6784x3816 photo capture
Foxtech,EH30-M TIR Dual Sensor 30X Optical Zoom Camera with 3-Axis Gimbal,EH30-M TIR,30x,806,12499.0,False,True,"Exceeds $10,000 price threshold at $12,499. Weight (806g) and optical zoom (30x) meet criteria. If price drops or is negotiable, could qualify.",True,False,3,,2.16,1920x1080 @ 25fps,https://www.foxtechfpv.com/eh30-m-tir-gimbal-camera.html,Weight (806g standard / 772g quick-detach) and power consumption (8.4W) found via search results referencing product specs. Price from Alibaba listing. Not listed on store.foxtech.com as a separate product; sold through foxtechfpv.com and Alibaba. Detailed dimensions and voltage specs not found publicly.; medium,China,,30x (optical only confirmed),CMOS (EO) + Uncooled IR (Thermal),1920x1080,,8.4,,,360 degrees continuous,,Ethernet,"SBUS, TCP","Foxtech Rhea 160 Hexacopter, Foxtech Gaia 160S, and other multirotors",,alibaba.com (Foxtech official store),Available (contact sales for some channels),Dual sensor: 30x optical zoom EO + 704x576 thermal camera; 3-axis gimbal with +/-0.008 degree control accuracy; 360 degree continuous yaw rotation; Dual sensor object tracking (static and moving targets); Temperature measurement: -20 to 150 C or 0 to 550 C; Compact and lightweight dual-sensor design (806g); 1080p/25fps Ethernet video output; SBUS and TCP gimbal control
Foxtech,Seeker-40 PRO AI Tracking Camera with 3-axis Gimbal,Seeker-40 PRO,40x,,2699.0,True,False,,False,False,3,,5.13,1080p (Ethernet output),https://store.foxtech.com/seeker-40-pro-ai/,"Price confirmed from store.foxtech.com. Weight not publicly available; store lists 6.50 KGS which is shipping weight. Actual gimbal weight likely well under 1000g based on similar Foxtech products but unconfirmed. Detailed specs (dimensions, voltage, power, stabilization ranges) not found on public product pages.; medium",China,,40x (optical; digital zoom capability unconfirmed),Sony CMOS,,,,,Stabilized (range not specified),360 degrees continuous,Stabilized (range not specified),"Ethernet, USB, TTL/SBUS, PWM","PWM (pitch/yaw channels), TTL, SBUS",Various multirotors (universal mounting),,store.foxtech.com,In stock,"40x optical zoom with Sony CMOS sensor; AI Human/Vehicle recognition and tracking; 5.13 megapixel high-resolution sensor; 360 degree continuous yaw rotation; OSD information overlay (gimbal pitch angle, zoom level, FOV); GPS coordinate and timestamp metadata in photos; Ethernet video output; Target tracking for moving objects"
Foxtech,Seeker-40 Pro TIR Dual-Sensor AI Tracking Camera,Seeker-40 Pro TIR,40x,,7899.0,True,False,,True,False,3,,5.13,1080p (Ethernet output),https://store.foxtech.com/seeker-40-pro-tir/,"Price confirmed from store.foxtech.com. Weight not publicly available; store lists 5.00 KGS (shipping weight). Actual gimbal weight unconfirmed but expected well under 1000g based on comparable products. Detailed dimensions, voltage, and power specs not found publicly.; medium",China,,40x (optical; thermal supports digital zoom),Sony CMOS (EO) + Uncooled LWIR VOx (Thermal),,,,,Stabilized (range not specified),360 degrees continuous,Stabilized (range not specified),"Ethernet, USB-TTL, PWM, TTL/SBUS","PWM, TTL, SBUS, TCP",Various multirotors (quick-mount version available),,store.foxtech.com,In stock,"40x optical zoom with 5.13MP Sony CMOS EO sensor; 640x512 thermal imaging with 19mm uncooled VOx LWIR sensor; AI Human/Vehicle recognition and tracking; Dual-sensor (EO + thermal) with PIP switching; IR color palette switching; 360 degree continuous yaw rotation; OSD with gimbal heading, pitch angles, zoom levels, FOV, tracking boxes; GPS coordinate and altitude overlay (with external GPS); Quick-mount version available; Aluminum alloy housing with anti-interference design; Integrated shock absorption"
Foxtech,SEEKER IR&RANGING 40X AI Camera with 3-axis Gimbal,SEEKER IR&RANGING 40X,40x,,9699.0,True,False,,True,False,3,,5.13,,https://store.foxtech.com/foxtech-seeker-ir-ranging-40x-ai-camera-with-3-axis-gimbal-for-uav-drones/,"Price confirmed from store.foxtech.com. Store lists 4.00 KGS shipping weight. Actual gimbal weight not found publicly. This is the top-tier SEEKER 40x variant with thermal + laser rangefinder. Priced at $9,699, just under the $10,000 threshold.; medium",China,,40x optical + thermal digital zoom,CMOS (EO) + Uncooled VOx 19mm (Thermal),,,,,Stabilized (range not specified),360 degrees (horizontal stabilization),Stabilized (range not specified),,,Various UAV platforms,,store.foxtech.com,In stock,"40x optical zoom EO camera (5.13MP); 640x512 thermal imaging with 19mm uncooled VOx lens; 3000-meter laser rangefinder; AI-based vehicle and personnel detection; Automatic target tracking; Three-axis stabilization with integrated shock absorption; OSD displaying heading, pitch, zoom, FOV, tracking boxes, rangefinder distance; Optional GPS coordinates and altitude overlay; Timestamp and GPS metadata in photos"
Gremsy,Gremsy ZIO,ZIO,20x,480,4699,True,False,,False,False,3,1/2.5 inch,8.51,3840x2160@30fps (4K); 1920x1080@60fps,https://gremsy.com/zio-payload,,Vietnam,12x,240x (20x optical * 12x digital); 30x super resolution mode,Exmor R CMOS (Sony),3840x2160,145x90x148,12-48W,14.5V-52V,+/-120 deg (controllable); mechanical +138 to -198 deg,+/-320 deg (controllable); mechanical +/-335 deg,mechanical +75 to -265 deg,"USB 2.0, UART, Ethernet, Micro HDMI","MAVLink (PX4, ArduPilot compatible)",PX4-based platforms; ArduPilot-based platforms; Cube flight controller recommended,,Gremsy official website / Candrone / IRLock,Available,Lightest zoom gimbal in class at 480g; 30x super resolution zoom mode; 240x max combined zoom; MAVLink integration with PX4 and ArduPilot; QGroundControl compatible; HDMI 1080p60 and Ethernet RTSP 720p30 video output; NDAA compliant; MicroSDXC storage (64GB included); Angular vibration +/-0.01 deg
Gremsy,Gremsy VIO F1,VIO F1,20x,854,9499,True,False,,True,False,3,1/2.5 inch (EO camera),8.51,3840x2160@30fps (4K),https://gremsy.com/vio,,Vietnam,12x,240x (20x optical * 12x digital); 30x super resolution mode,Exmor R CMOS (Sony) + Uncooled VOx Microbolometer (FLIR Boson 640),3840x2160,173x148x159,"24W average, 57W peak",14.5V-52V,+/-120 deg (controllable); mechanical +/-143 deg,+/-310 deg (controllable); mechanical +/-320 deg,+/-45 deg (controllable); mechanical -260 to +80 deg,"UART, Ethernet, SBUS, HDMI, RTSP","MAVLink (PX4, ArduPilot compatible)",PX4-based platforms; ArduPilot-based platforms; Inspired Flight IF800; Inspired Flight IF1200A,,"Vertex Unmanned Solutions (lowest found); ranges $9,499-$15,371 across retailers",Available,"Triple-sensor: EO zoom + thermal + laser rangefinder; FLIR Boson 640 thermal (640x512, <=50mK NETD); Thermal range -40 to 500 deg C; Thermal 1x-8x digital zoom; Laser rangefinder 0-2400m (1Hz), 0-1200m (10Hz); LRF precision 0.01-0.5m, Class 1 eye-safe; NVIDIA Jetson Xavier NX onboard processor; Electronic Image Stabilization (EIS); Geotagging support; NDAA compliant; MicroSD storage up to 128GB"
Gremsy,Gremsy VIO G1,VIO G1,20x,854,9499,True,False,,True,False,3,1/2.5 inch (EO camera),8.51,3840x2160@30fps (4K),https://gremsy.com/vio-g1-store,,Vietnam,12x,240x (20x optical * 12x digital); 30x super resolution mode,Exmor R CMOS (Sony) + Uncooled VOx Microbolometer (Thermal Core 640R),3840x2160,173x148x159,"24W average, 57W peak",14.5V-52V,+/-120 deg (controllable); mechanical +/-143 deg,+/-310 deg (controllable); mechanical +/-320 deg,+/-45 deg (controllable); mechanical -260 to +80 deg,"UART, Ethernet, SBUS, HDMI, RTSP","MAVLink (PX4, ArduPilot compatible)",PX4-based platforms; ArduPilot-based platforms; Inspired Flight IF800; Inspired Flight IF1200A,,"Vertex Unmanned Solutions (estimated, same range as F1); quote-based pricing common",Available,"Triple-sensor: EO zoom + thermal + laser rangefinder; Thermal Core 640R sensor (640x512, <=50mK NETD); Thermal range -20 to 550 deg C; Laser rangefinder 0-2400m (1Hz), 0-1200m (10Hz); 19mm EFL thermal lens variant (vs F1's 14mm); NVIDIA Jetson Xavier NX onboard processor; NDAA compliant"
Gremsy,Gremsy ORUS L,ORUS L,25x,1504,15999,False,True,"Weight exceeds 1000g (1504g with QR+damping, 1388g with QR only). Price ($15,999) exceeds $10,000. Meets optical zoom criteria (25x).",True,True,3,1/1.8 inch (EO camera),,3840x2160@60fps (4K/60p),https://gremsy.com/orus-l,,Vietnam,Unknown (up to 30x referenced in some sources),25x optical confirmed; total combined TBD,Starvis 2 CMOS (IMX-678) + Uncooled VOx (FLIR Boson 640),,165x140x248,"30W average, 100W max",19VDC-52VDC,,,,"Ethernet (UDP), UART/MAVLink, SBUS, RTSP streaming","MAVLink (PX4, ArduPilot compatible), SDK ready",PX4-based platforms; ArduPilot-based platforms; Fixed-wing UAVs; VTOL UAVs,IP55,"IRLock (ORUS L Standard listing, was sold out at time of research)",Pre-order / Limited availability,Spherical aerodynamic design for high-speed flight; Stable at speeds up to 100 km/h; NVIDIA Jetson Orin NX onboard AI (100 TOPS); Automatic object detection and tracking; Target lock and autonomous tracking; Super/Super+ image stabilization; 1/1.8 inch Starvis 2 sensor (IMX-678); 4K/60p video output; Radiometric 640x512 thermal (FLIR Boson 640); Laser rangefinder 1200m (10Hz) / 2400m (1Hz); 500GB internal storage; IP55 dust and rain protection; NDAA compliant; Available in NDAA and Standard variants; Night vision capability
GWD Bio-intelligence (Shenzhen ViewPro Technology),GWD A30TR,A30TR,30x,2530,,False,True,"Weight (2530g) far exceeds 1000g limit. Price likely exceeds $10,000 for full-featured variant. Meets 30x optical zoom requirement.",True,True,3,"1/2.8"" (EO), 12um pixel pitch (thermal)",2.13,1920x1080 (1080P),https://gwdbi.com/products/gwd-a30tr-30x-optical-zoom-ptz-camera-ir-payload-3-axis-stabilized-object-gps-coordinate-resolving-lrf-gimbal-camera-for-drone,,China,,30x (optical only confirmed),"Sony 1/2.8"" Exmor R CMOS (EO) + ULIS uncooled LWIR (thermal)",1920x1080,150 x 256.7 x 190,,4S-6S (14.8V-22.2V),unknown,360 degrees continuous,unknown,"HDMI, IP (Ethernet), SDI","PWM, TTL, S.BUS, TCP, UDP",Universal UAV mount (medium/large drones),,"Not publicly listed on gwdbi.com; A30TR-1575 variant listed ~$13,499 at some resellers, Mini A30 variant ~$4,399-$4,748","Available via gwdbi.com and resellers (MotioNew, RCDrone, ViewPro)","Triple sensor (30x EO + 640x512 thermal + laser rangefinder); Sony 1/2.8"" Exmor R CMOS starlight sensor; AI object detection (10+ simultaneous targets: cars, humans, boats); GPS coordinate resolving; Integrated damping system; FOC motor technology; 3000m observation range; 1.5km LRF (base model)"
GWD Bio-intelligence (Shenzhen ViewPro Technology),GWD A40 Pro,A40 Pro,40x,1074,2660,False,True,"Weight (1074g) slightly exceeds 1000g limit by 74g. Price ($2,660) is well under $10,000. Meets 40x optical zoom requirement. Very close to meeting all criteria.",False,True,3,"1/2.8""",2.13,1920x1080 (1080P Full HD),https://gwdbi.com/products/gwd-a40-pro-40x-eo-ai-object-tracking-gimbal-camera,,China,,40x (optical only confirmed),"Sony 1/2.8"" CMOS",1920x1080,unknown,8,"4S-6S (16V nominal), dynamic current 500-1500mA @ 16V",±0.02 degree accuracy,360 degrees continuous,unknown,"HDMI, IP (Ethernet), SDI","PWM, TTL, S.BUS, TCP, UDP",Universal UAV mount,,"gwdbi.com (sale price, regular $3,999)","Available via gwdbi.com and resellers (MotioNew, ViewPro, DrUAV)",40x optical zoom (4.25-170mm focal length); AI auto-zoom object tracking; 360-degree continuous yaw rotation; AI detection accuracy >=85% (up to 10 simultaneous targets); HTTP card reading for real-time media access; Onboard storage up to 128GB; Working temperature -20C to +60C; 5V output for accessories
GWD Bio-intelligence (Shenzhen ViewPro Technology),GWD Z36T Cube,Z36T,36x,930,4107,True,False,,False,True,3,"1/2"" (IMX385)",2.13,1920x1080 (1080P),https://gwdbi.com/products/gwd-z36t-cube-36x-optical-zoom-starlight-object-auto-tracking-stabilizer-3-axis-flight-sports-drone-gimbal-camera-for-uav,,China,,36x (optical only confirmed),Sony IMX385LQR-C CMOS,1920x1080,187.6 x 105.3 x 180.6 (standard) / 187.6 x 105.3 x 186.3 (viewport version),,unknown (likely 4S-6S based on product line),unknown,360 degrees continuous,unknown,"HDMI, IP (Ethernet), SDI","PWM, TTL, S.BUS, TCP, UDP",Universal UAV mount,,austars-model.com,"Available via gwdbi.com and resellers (Austars-Model, RCDrone, ViewPro, InsightFPV)",36x optical autofocus zoom; Sony IMX385 starlight sensor (0.001 lux minimum illumination); Object auto-tracking; Control accuracy ±0.01 degrees; Cube form factor; Starlight-level night vision; Dedicated FOC processor
